,INSTNM,C100_4,GRAD CLASSES
688,Newbury College,0.270300000906,1
689,Nichols College,0.447600007057,2
690,Massachusetts College of Liberal Arts,0.335399985313,1
691,The New England Institute of Art,0.281399995089,1
692,Northeastern University,0.0,0
693,College of Our Lady of the Elms,0.527400016785,2
694,Pine Manor College,0.186700001359,0
695,Regis College,0.371300011873,1
696,Salem State University,0.225099995732,1
697,Simmons College,0.615400016308,3
698,Smith College,0.819599986076,4
699,Springfield College,0.615899980068,3
700,University of Massachusetts-Dartmouth,0.274300009012,1
701,Stonehill College,0.793399989605,3
702,Suffolk University,0.389899998903,1
703,Tufts University,0.879000008106,4
704,Wellesley College,0.817099988461,4
705,Wentworth Institute of Technology,0.490799993277,2
706,Western New England University,0.503400027752,2
707,Westfield State University,0.483500003815,2
708,Wheaton College,0.745199978352,3
709,Wheelock College,0.444400012493,2
710,Williams College,0.88480001688,4
711,Worcester Polytechnic Institute,0.743399977684,3
712,Worcester State University,0.312400013208,1
713,Adrian College,0.437799990177,2
714,Albion College,0.612399995327,3
715,Alma College,0.574800014496,2
716,Andrews University,0.323000013828,1
717,Aquinas College,0.303299993277,1
718,Baker College of Owosso,0.022199999541,0
719,Baker College,0.0168999992311,0
720,Calvin College,0.576499998569,2
721,Central Michigan University,0.205099999905,1
722,Cleary University,0.322600007057,1
723,College for Creative Studies,0.349599987268,1
724,Davenport University,0.240299999714,1
725,University of Detroit Mercy,0.363599985838,1
726,Eastern Michigan University,0.124099999666,0
727,Ferris State University,0.213699996471,1
728,Kettering University,0.117899999022,0
729,Grace Bible College,0.211500003934,1
730,Cornerstone University,0.253699988127,1
731,Grand Valley State University,0.313499987125,1
732,Great Lakes Christian College,0.178599998355,0
733,Hope College,0.701900005341,3
734,Kalamazoo College,0.766499996185,3
735,Lake Superior State University,0.179600000381,0
736,Lawrence Technological University,0.119800001383,0
737,Madonna University,0.206900000572,1
738,Marygrove College,0.0526000000536,0
739,Rochester College,0.247600004077,1
740,University of Michigan-Ann Arbor,0.75569999218,3
741,Michigan State University,0.528500020504,2
742,Michigan Technological University,0.254999995232,1
743,University of Michigan-Dearborn,0.160199999809,0
744,University of Michigan-Flint,0.0922000035644,0
745,Baker College of Muskegon,0.0,0
746,Northern Michigan University,0.216900005937,1
747,Northwood University,0.400499999523,2
748,Oakland University,0.159700006247,0
749,Olivet College,0.269499987364,1
750,Kuyper College,0.516099989414,2
751,Sacred Heart Major Seminary,0.0,0
752,Saginaw Valley State University,0.0873999968171,0
753,Siena Heights University,0.246199995279,1
754,Spring Arbor University,0.334199994802,1
755,Finlandia University,0.20000000298,1
756,Wayne State University,0.107500001788,0
757,Western Michigan University,0.231399998069,1
758,Academy College,0.0,0
759,Augsburg College,0.472000002861,2
760,Bemidji State University,0.265300005674,1
761,Bethany Lutheran College,0.397799998522,1
762,Bethel University,0.645600020885,3
763,Carleton College,0.909799993038,4
764,Concordia College at Moorhead,0.664900004864,3
765,Concordia University-Saint Paul,0.284399986267,1
766,Martin Luther College,0.502900004387,2
767,Globe University-Woodbury,0.333299994469,1
768,Gustavus Adolphus College,0.803600013256,4
769,Hamline University,0.563499987125,2
770,The Art Institutes International-Minnesota,0.240600004792,1
771,Macalester College,0.838900029659,4
772,Minnesota State University-Mankato,0.222699999809,1
773,Argosy University-Twin Cities,0.5,2
774,Metropolitan State University,0.101700000465,0
775,University of Minnesota-Twin Cities,0.584599971771,2
776,University of Minnesota-Crookston,0.32769998908,1
777,Minneapolis College of Art and Design,0.582499980927,2
778,Herzing University-Minneapolis,0.0,0
779,Crossroads College,0.27270001173,1
780,University of Minnesota-Duluth,0.343400001526,1
781,University of Minnesota-Morris,0.536199986935,2
782,Minnesota School of Business-Richfield,0.375,1
783,Minnesota State University Moorhead,0.233500003815,1
784,National American University-Roseville,0.20000000298,1
785,Sanford-Brown College-Mendota Heights,0.335900008678,1
786,North Central University,0.266000002623,1
787,University of Northwestern-St Paul,0.470899999142,2
788,Northwestern Health Sciences University,0.0,0
789,Oak Hills Christian College,0.0,0
790,College of Saint Benedict,0.741800010204,3
791,Saint Cloud State University,0.181500002742,0
792,Saint Johns University,0.720200002193,3
793,Saint Mary's University of Minnesota,0.54699999094,2
794,St Olaf College,0.858500003815,4
795,Crown College,0.434500008821,2
796,The College of Saint Scholastica,0.546100020409,2
797,University of St Thomas,0.599500000477,2
798,St Catherine University,0.372900009155,1
799,Rasmussen College-Minnesota,0.0,0
800,Southwest Minnesota State University,0.208000004292,1
801,Winona State University,0.316399991512,1
802,Alcorn State University,0.19509999454,0
803,Belhaven University,0.342000007629,1
804,Blue Mountain College,0.346199989319,1
805,Delta State University,0.150999993086,0
806,Jackson State University,0.188700005412,0
807,Millsaps College,0.620299994946,3
808,University of Mississippi,0.370000004768,1
809,Mississippi University for Women,0.225899994373,1
810,Mississippi Valley State University,0.127800002694,0
811,Mississippi College,0.358099997044,1
812,Mississippi State University,0.301499992609,1
813,Rust College,0.0975999981165,0
814,Southeastern Baptist College,0.0,0
815,University of Southern Mississippi,0.250200003386,1
816,Tougaloo College,0.286900013685,1
817,William Carey University,0.446200013161,2
818,Avila University,0.245900005102,1
819,Baptist Bible College,0.211799994111,1
820,Cox College,0.571399986744,2
821,Calvary University,0.300000011921,1
822,Central Christian College of the Bible,0.132100000978,0
823,Central Methodist University-College of Liberal Arts and Sciences,0.36669999361,1
824,University of Central Missouri,0.292499989271,1
825,Cleveland University-Kansas City,0.0,0
826,Columbia College,0.27919998765,1
827,Conception Seminary College,0.0,0
828,Culver-Stockton College,0.343600004911,1
829,Drury University,0.446299999952,2
830,Evangel University,0.34319999814,1
831,Fontbonne University,0.235300004482,1
832,Hannibal-LaGrange University,0.257899999619,1
833,Harris-Stowe State University,0.00730000017211,0
834,Kansas City Art Institute,0.412999987602,2
835,Kenrick Glennon Seminary,1.0,5
836,Lincoln University,0.0899000018835,0
837,Lindenwood University,0.291700005531,1
838,Maryville University of Saint Louis,0.468600004911,2
839,Midwestern Baptist Theological Seminary,0.222200006247,1
840,Westwood College-O'Hare Airport,0.227599993348,1
841,Missouri Baptist University,0.281399995089,1
842,Missouri Southern State University,0.15569999814,0
843,Missouri Tech,0.0,0
844,Missouri Valley College,0.151099994779,0
845,Missouri Western State University,0.152700006962,0
846,University of Missouri-Columbia,0.46020001173,2
847,University of Missouri-Kansas City,0.224500000477,1
848,Missouri University of Science and Technology,0.244200006127,1
849,University of Missouri-St Louis,0.210500001907,1
850,Truman State University,0.567499995232,2
851,Northwest Missouri State University,0.251199990511,1
852,Ozark Christian College,0.10000000149,0
853,College of the Ozarks,0.619000017643,3
854,Park University,0.123000003397,0
855,Ranken Technical College,0.10339999944,0
856,Rockhurst University,0.622900009155,3
857,Everest College-Springfield,0.0,0
858,Saint Louis University,0.581900000572,2
859,Sanford-Brown College-Fenton,0.39390000701,1
860,Saint Louis Christian College,0.1738999933,0
861,St Louis College of Pharmacy,0.662400007248,3
862,Southwest Baptist University,0.349700003862,1
863,Stephens College,0.463999986649,2
864,Southeast Missouri State University,0.294299989939,1
865,Missouri State University-Springfield,0.310000002384,1
866,Washington University in St Louis,0.902000010014,4
867,Webster University,0.425099998713,2
868,Westminster College,0.5041000247,2
869,William Jewell College,0.573599994183,2
870,William Woods University,0.434799998999,2
871,Carroll College,0.476599991322,2
872,Montana State University-Billings,0.103500001132,0
873,University of Great Falls,0.261700004339,1
874,Montana Tech of the University of Montana,0.171700000763,0
875,Montana State University,0.196099996567,0
876,The University of Montana,0.252000004053,1
877,Montana State University-Northern,0.0966000035405,0
878,Rocky Mountain College,0.268999993801,1
879,Salish Kootenai College,0.255800008774,1
880,The University of Montana-Western,0.211899995804,1
881,Bellevue University,0.147100001574,0
882,Clarkson College,0.111100003123,0
883,Bryan College of Health Sciences,0.0399999991059,0
884,Chadron State College,0.173700004816,0
885,Concordia University-Nebraska,0.457899987698,2
886,Creighton University,0.65750002861,3
887,Doane University-Arts & Sciences,0.546599984169,2
888,Grace University,0.209700003266,1
889,Hastings College,0.478100001812,2
890,University of Nebraska at Kearney,0.227699995041,1
891,Kaplan University-Lincoln Campus,0.0,0
892,Nebraska Methodist College of Nursing & Allied Health,0.405400007963,2
893,Midland University,0.426800012589,2
894,Nebraska Christian College of Hope International University,0.1053000018,0
895,University of Nebraska at Omaha,0.163000002503,0
896,Kaplan University-Omaha Campus,0.0,0
897,Nebraska Wesleyan University,0.550899982452,2
898,University of Nebraska-Lincoln,0.330700010061,1
899,Peru State College,0.109499998391,0
900,College of Saint Mary,0.394699990749,1
901,Union College,0.270300000906,1
902,Wayne State College,0.226600006223,1
903,York College,0.241099998355,1
904,The Art Institute of Las Vegas,0.187199994922,0
905,University of Nevada-Las Vegas,0.139799997211,0
906,University of Nevada-Reno,0.206599995494,1
907,Great Basin College,0.0333000011742,0
908,Sierra Nevada College,0.29359999299,1
909,Colby-Sawyer College,0.36700001359,1
910,Daniel Webster College,0.346799999475,1
911,Dartmouth College,0.87760001421,4
912,Franklin Pierce University,0.390300005674,1
913,Mount Washington College,0.115400001407,0
914,Northeast Catholic College,0.571399986744,2
915,New England College,0.290699988604,1
916,Southern New Hampshire University,0.422100007534,2
917,University of New Hampshire-Main Campus,0.617999970913,3
918,Keene State College,0.518299996853,2
919,University of New Hampshire at Manchester,0.305599987507,1
920,Plymouth State University,0.437900006771,2
921,Rivier University,0.39019998908,1
922,Saint Anselm College,0.702000021935,3
923,Granite State College,0.0,0
924,Thomas More College of Liberal Arts,0.3125,1
925,Berkeley College-Woodland Park,0.211400002241,1
926,Bloomfield College,0.0586999990046,0
927,Caldwell University,0.510900020599,2
928,Centenary University,0.606500029564,3
929,Drew University,0.569199979305,2
930,Fairleigh Dickinson University-Metropolitan Campus,0.319000005722,1
931,Felician University,0.171399995685,0
932,Fairleigh Dickinson University-Florham Campus,0.41740000248,2
933,Georgian Court University,0.24699999392,1
934,Rowan University,0.427599996328,2
935,New Jersey City University,0.0746000036597,0
936,Kean University,0.184200003743,0
937,Monmouth University,0.492700010538,2
938,Montclair State University,0.361999988556,1
939,New Jersey Institute of Technology,0.23749999702,1
940,Princeton University,0.90189999342,4
941,Rabbinical College of America,0.0,0
942,Ramapo College of New Jersey,0.582700014114,2
943,Rider University,0.525699973106,2
944,Rutgers University-Camden,0.232899993658,1
945,Rutgers University-New Brunswick,0.589999973774,2
946,Rutgers University-Newark,0.366499990225,1
947,Saint Peter's University,0.366200000048,1
948,Seton Hall University,0.564999997616,2
949,College of Saint Elizabeth,0.392399996519,1
950,Stevens Institute of Technology,0.404100000858,2
951,Stockton University,0.505999982357,2
952,Talmudical Academy-New Jersey,0.0,0
953,The College of New Jersey,0.725099980831,3
954,William Paterson University of New Jersey,0.178599998355,0
955,Eastern New Mexico University-Main Campus,0.111900001764,0
956,Institute of American Indian and Alaska Native Culture and Arts Development,0.0,0
957,New Mexico Highlands University,0.0803000032902,0
958,New Mexico Institute of Mining and Technology,0.220300003886,1
959,University of New Mexico-Main Campus,0.145799994469,0
960,New Mexico State University-Main Campus,0.155200004578,0
961,Northern New Mexico College,0.0,0
962,Santa Fe University of Art and Design,0.171800002456,0
963,University of the Southwest,0.0920000001788,0
964,Western New Mexico University,0.0702000036836,0
965,Vaughn College of Aeronautics and Technology,0.238100007176,1
966,Adelphi University,0.540300011635,2
967,Globe Institute of Technology,0.125,0
968,Albany College of Pharmacy and Health Sciences,0.552600026131,2
969,Alfred University,0.384499996901,1
970,American Musical and Dramatic Academy,0.632799983025,3
971,Bard College,0.660899996758,3
972,Barnard College,0.817700028419,4
973,Berkeley College-New York,0.230199992657,1
974,Beth Hatalmud Rabbinical College,0.0,0
975,Boricua College,0.411799997091,2
976,Briarcliffe College,0.20000000298,1
977,Canisius College,0.566299974918,2
978,Cazenovia College,0.547699987888,2
979,Central Yeshiva Tomchei Tmimim Lubavitz,0.0,0
980,Clarkson University,0.554499983788,2
981,Colgate University,0.896899998188,4
982,Metropolitan College of New York,0.3287999928,1
983,Columbia University in the City of New York,0.879199981689,4
984,Concordia College-New York,0.384600013494,1
985,Cooper Union for the Advancement of Science and Art,0.726800024509,3
986,Cornell University,0.86779999733,4
987,CUNY Bernard M Baruch College,0.354000002146,1
988,CUNY Brooklyn College,0.244299992919,1
989,College of Staten Island CUNY,0.212099999189,1
990,CUNY City College,0.104400001466,0
991,CUNY Hunter College,0.223800003529,1
992,CUNY John Jay College of Criminal Justice,0.223399996758,1
993,CUNY Lehman College,0.140799999237,0
994,CUNY Medgar Evers College,0.0406999997795,0
995,CUNY New York City College of Technology,0.0370000004768,0
996,CUNY Queens College,0.270999997854,1
997,CUNY York College,0.0784000009298,0
998,D'Youville College,0.231499999762,1
999,Daemen College,0.271600008011,1
1000,Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,0.526300013065,2
1001,Dominican College of Blauvelt,0.200699999928,1
1002,Dowling College,0.177200004458,0
1003,Elmira College,0.5583999753,2
1004,Five Towns College,0.281899988651,1
1005,Fordham University,0.747799992561,3
1006,Hamilton College,0.85900002718,4
1007,Hartwick College,0.504499971867,2
1008,Hilbert College,0.357800006866,1
1009,Hobart William Smith Colleges,0.742600023746,3
1010,Hofstra University,0.49849998951,2
1011,Houghton College,0.595700025558,2
1012,Iona College,0.509199976921,2
1013,Ithaca College,0.705799996853,3
1014,Jewish Theological Seminary of America,0.521700024605,2
1015,The Juilliard School,0.796599984169,3
1016,Kehilath Yakov Rabbinical Seminary,0.0,0
1017,Keuka College,0.363000005484,1
1018,LIM College,0.431499987841,2
1019,Le Moyne College,0.611800014973,3
1020,LIU Brooklyn,0.0979000031948,0
1021,LIU Post,0.223199993372,1
1022,Machzikei Hadath Rabbinical College,0.0,0
1023,Manhattan College,0.654299974442,3
1024,Manhattan School of Music,0.660199999809,3
1025,Manhattanville College,0.567200005054,2
1026,Marist College,0.684700012207,3
1027,Marymount Manhattan College,0.330799996853,1
1028,Medaille College,0.305200010538,1
1029,Mercy College,0.145600005984,0
1030,Mesivta Torah Vodaath Rabbinical Seminary,0.0,0
1031,Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,0.0,0
1032,Mesivtha Tifereth Jerusalem of America,0.0,0
1033,Mirrer Yeshiva Cent Institute,0.0,0
1034,Molloy College,0.405200004578,2
1035,Monroe College,0.567700028419,2
1036,Mount Saint Mary College,0.442099988461,2
1037,College of Mount Saint Vincent,0.390399992466,1
1038,Nazareth College,0.649699985981,3
1039,The College of New Rochelle,0.170599997044,0
1040,The New School,0.481999993324,2
1041,New York University,0.715600013733,3
1042,Niagara University,0.58939999342,2
1043,New York Institute of Technology,0.227599993348,1
1044,New York School of Interior Design,0.0,0
1045,Nyack College,0.241099998355,1
1046,Ohr Hameir Theological Seminary,0.0,0
1047,Pace University-New York,0.364499986172,1
1048,Paul Smiths College of Arts and Science,0.291000008583,1
1049,Davis College,0.268299996853,1
1050,Pratt Institute-Main,0.42429998517,2
1051,Rabbinical Academy Mesivta Rabbi Chaim Berlin,0.0,0
1052,Rabbinical College Bobover Yeshiva Bnei Zion,0.0,0
1053,Rabbinical College of Ch'san Sofer New York,0.0,0
1054,Rabbinical College Beth Shraga,0.0,0
1055,Rabbinical College of Long Island,0.0,0
1056,Rabbinical Seminary of America,0.076099999249,0
1057,Rensselaer Polytechnic Institute,0.614799976349,3
1058,Roberts Wesleyan College,0.51289999485,2
1059,Rochester Institute of Technology,0.301299989223,1
1060,University of Rochester,0.730099976063,3
1061,The Sage Colleges,0.5,2
1062,St Bonaventure University,0.550599992275,2
1063,St Francis College,0.282700002193,1
1064,St Lawrence University,0.79549998045,3
1065,The College of Saint Rose,0.543600022793,2
1066,St. Thomas Aquinas College,0.39770001173,1
1067,Sarah Lawrence College,0.706900000572,3
1068,Sh'or Yoshuv Rabbinical College,0.0,0
1069,Siena College,0.744799971581,3
1070,Skidmore College,0.84659999609,4
1071,St. Joseph's College-New York,0.531799972057,2
1072,Saint John Fisher College,0.597500026226,2
1073,St John's University-New York,0.400999993086,2
1074,SUNY College of Technology at Alfred,0.417499989271,2
1075,SUNY College of Technology at Canton,0.186700001359,0
1076,SUNY College of Technology at Delhi,0.322600007057,1
1077,SUNY College of Agriculture and Technology at Cobleskill,0.329299986362,1
1078,Farmingdale State College,0.258100003004,1
1079,Morrisville State College,0.294099986553,1
1080,SUNY at Albany,0.544200003147,2
1081,SUNY at Binghamton,0.679400026798,3
1082,University at Buffalo,0.526099979877,2
1083,Stony Brook University,0.475699990988,2
1084,SUNY College of Environmental Science and Forestry,0.467700004578,2
1085,SUNY Polytechnic Institute,0.241500005126,1
1086,SUNY College at Brockport,0.497500002384,2
1087,SUNY Buffalo State,0.224299997091,1
1088,SUNY Cortland,0.445399999619,2
1089,SUNY at Fredonia,0.479299992323,2
1090,SUNY College at Geneseo,0.661099970341,3
1091,State University of New York at New Paltz,0.551800012589,2
1092,SUNY Oneonta,0.558000028133,2
1093,SUNY College at Oswego,0.442099988461,2
1094,SUNY College at Potsdam,0.362800002098,1
1095,SUNY at Purchase College,0.575500011444,2
1096,SUNY College at Old Westbury,0.175999999046,0
1097,SUNY College at Plattsburgh,0.398000001907,1
1098,SUNY Empire State College,0.0772000029683,0
1099,SUNY Maritime College,0.247500002384,1
1100,Syracuse University,0.687399983406,3
1101,Talmudical Seminary Oholei Torah,0.0399999991059,0
1102,Talmudical Institute of Upstate New York,0.0,0
1103,Torah Temimah Talmudical Seminary,0.0,0
1104,Touro College,0.466199994087,2
1105,Union College,0.798300027847,3
1106,United Talmudical Seminary,0.0,0
1107,United States Merchant Marine Academy,0.631900012493,3
1108,Utica College,0.301099985838,1
1109,Vassar College,0.877699971199,4
1110,Villa Maria College,0.238100007176,1
1111,School of Visual Arts,0.56970000267,2
1112,Wagner College,0.582499980927,2
1113,Webb Institute,0.86360001564,4
1114,Wells College,0.548399984837,2
1115,Yeshiva Karlin Stolin,0.0,0
1116,Yeshivat Mikdash Melech,0.0,0
1117,Yeshiva Derech Chaim,0.0,0
1118,Yeshiva of Nitra Rabbinical College,0.0,0
1119,Yeshiva Shaar Hatorah,0.468800008297,2
1120,Yeshiva University,0.580200016499,2
1121,Yeshivath Viznitz,0.0,0
1122,Yeshivath Zichron Moshe,0.0,0
1123,The Art Institute of Charlotte,0.226699993014,1
1124,Appalachian State University,0.441100001335,2
1125,Barton College,0.287400007248,1
1126,Belmont Abbey College,0.325199991465,1
1127,Bennett College,0.281300008297,1
1128,Brevard College,0.355199992657,1
1129,Campbell University,0.339199990034,1
1130,Catawba College,0.449400007725,2
1131,Chowan University,0.146400004625,0
1132,Davidson College,0.908299982548,4
1133,Duke University,0.871299982071,4
1134,East Carolina University,0.325100004673,1
1135,Elizabeth City State University,0.149399995804,0
1136,Elon University,0.757399976254,3
1137,Fayetteville State University,0.171299993992,0
1138,Gardner-Webb University,0.374099999666,1
1139,Greensboro College,0.213300004601,1
1140,Guilford College,0.49509999156,2
1141,Heritage Bible College,0.0,0
1142,High Point University,0.592000007629,2
1143,John Wesley University,0.166700005531,0
1144,Johnson C Smith University,0.306899994612,1
1145,Lees-McRae College,0.296900004148,1
1146,Lenoir-Rhyne University,0.405800014734,2
1147,Livingstone College,0.105400003493,0
1148,Mars Hill University,0.290100008249,1
1149,Meredith College,0.491200000048,2
1150,Methodist University,0.153500005603,0
1151,Miller-Motte College-Wilmington,0.5,2
1152,Montreat College,0.25,1
1153,University of Mount Olive,0.316500008106,1
1154,North Carolina A & T State University,0.214800000191,1
1155,University of North Carolina at Asheville,0.384000003338,1
1156,University of North Carolina at Chapel Hill,0.803699970245,4
1157,University of North Carolina at Charlotte,0.250400006771,1
1158,University of North Carolina at Greensboro,0.307200014591,1
1159,North Carolina Central University,0.218299999833,1
1160,University of North Carolina School of the Arts,0.585399985313,2
1161,North Carolina State University at Raleigh,0.435400009155,2
1162,North Carolina Wesleyan College,0.206000000238,1
1163,University of North Carolina Wilmington,0.491499990225,2
1164,William Peace University,0.288199990988,1
1165,University of North Carolina at Pembroke,0.149000003934,0
1166,Pfeiffer University,0.25,1
1167,Piedmont International University,0.324999988079,1
1168,Queens University of Charlotte,0.534200012684,2
1169,Mid-Atlantic Christian University,0.20000000298,1
1170,Saint Augustine's University,0.179800003767,0
1171,Salem College,0.610199987888,3
1172,Shaw University,0.123800002038,0
1173,St Andrews University,0.260899990797,1
1174,Southeastern Baptist Theological Seminary,0.241400003433,1
1175,Wake Forest University,0.827899992466,4
1176,Warren Wilson College,0.417699992657,2
1177,Wingate University,0.42460000515,2
1178,Carolina Christian College,1.0,5
1179,Winston-Salem State University,0.172900006175,0
1180,Western Carolina University,0.398200005293,1
1181,Rasmussen College-North Dakota,0.571399986744,2
1182,Dickinson State University,0.114100001752,0
1183,University of Jamestown,0.277200013399,1
1184,University of Mary,0.289499998093,1
1185,Mayville State University,0.190999999642,0
1186,Minot State University,0.135499998927,0
1187,University of North Dakota,0.233999997377,1
1188,North Dakota State University-Main Campus,0.251700013876,1
1189,Trinity Bible College and Graduate School,0.191499993205,0
1190,Turtle Mountain Community College,0.0,0
1191,Valley City State University,0.227300003171,1
1192,University of Akron Main Campus,0.142499998212,0
1193,Allegheny Wesleyan College,0.0625,0
1194,Art Academy of Cincinnati,0.574500024319,2
1195,Ashland University,0.41400000453,2
1196,Baldwin Wallace University,0.509500026703,2
1197,Bluffton University,0.529399991035,2
1198,Bowling Green State University-Main Campus,0.320399999619,1
1199,Capital University,0.507899999619,2
1200,Case Western Reserve University,0.63639998436,3
1201,Cedarville University,0.572499990463,2
1202,Central State University,0.111500002444,0
1203,Cincinnati Christian University,0.136800006032,0
1204,University of Cincinnati-Main Campus,0.280499994755,1
1205,Ohio Christian University,0.21250000596,1
1206,Cleveland Institute of Art,0.611699998379,3
1207,Cleveland Institute of Music,0.463400006294,2
1208,Cleveland State University,0.149299994111,0
1209,Columbus College of Art and Design,0.447699993849,2
1210,University of Dayton,0.592899978161,2
1211,Defiance College,0.42199999094,2
1212,Denison University,0.788100004196,3
1213,Bryant & Stratton College-Cleveland,0.0,0
1214,The University of Findlay,0.434500008821,2
1215,Franklin University,0.0491999983788,0
1216,Gods Bible School and College,0.128999993205,0
1217,Heidelberg University,0.353199988604,1
1218,Hiram College,0.570999979973,2
1219,John Carroll University,0.599500000477,2
1220,Kent State University at Salem,0.0412000007927,0
1221,Kent State University at Kent,0.308699995279,1
1222,Kenyon College,0.88789999485,4
1223,Kettering College,0.357100009918,1
1224,Lake Erie College,0.365500003099,1
1225,Lourdes University,0.125,0
1226,Malone University,0.377900004387,1
1227,Marietta College,0.522099971771,2
1228,Mercy College of Ohio,0.218799993396,1
1229,Miami University-Hamilton,0.0800999999046,0
1230,Miami University-Middletown,0.0562999993563,0
1231,Miami University-Oxford,0.655099987984,3
1232,Mount Carmel College of Nursing,0.578899979591,2
1233,University of Mount Union,0.506799995899,2
1234,Mount Vernon Nazarene University,0.498600006104,2
1235,Mount Saint Joseph University,0.379999995232,1
1236,Muskingum University,0.374700009823,1
1237,Notre Dame College,0.133900001645,0
1238,University of Northwestern Ohio,0.203099995852,1
1239,Oberlin College,0.758000016212,3
1240,Ohio Dominican University,0.31740000844,1
1241,Ohio Northern University,0.510500013828,2
1242,Ohio State University-Lima Campus,0.208599999547,1
1243,Ohio State University-Mansfield Campus,0.22650000453,1
1244,Ohio State University-Marion Campus,0.212099999189,1
1245,Ohio State University-Newark Campus,0.204500004649,1
1246,Ohio State University-Main Campus,0.614499986172,3
1247,Ohio University-Eastern Campus,0.13330000639,0
1248,Ohio University-Chillicothe Campus,0.081200003624,0
1249,Ohio University-Southern Campus,0.0701000019908,0
1250,Ohio University-Lancaster Campus,0.0821999981999,0
1251,Ohio University-Main Campus,0.48939999938,2
1252,Ohio University-Zanesville Campus,0.136899992824,0
1253,Ohio Wesleyan University,0.601100027561,3
1254,Otterbein University,0.493200004101,2
1255,Pontifical College Josephinum,0.90909999609,4
1256,Rabbinical College Telshe,0.0,0
1257,University of Rio Grande,0.172600001097,0
1258,Shawnee State University,0.133399993181,0
1259,Franciscan University of Steubenville,0.673600018024,3
1260,Tiffin University,0.332399994135,1
1261,University of Toledo,0.221000000834,1
1262,Tri-State Bible College,0.0,0
1263,Union Institute & University,0.0625,0
1264,Urbana University,0.296499997377,1
1265,Ursuline College,0.305599987507,1
1266,Walsh University,0.341100007296,1
1267,Wilberforce University,0.152999997139,0
1268,Wilmington College,0.383700013161,1
1269,Wittenberg University,0.647099971771,3
1270,The College of Wooster,0.702700018883,3
1271,Wright State University-Main Campus,0.214200004935,1
1272,Wright State University-Lake Campus,0.233999997377,1
1273,Xavier University,0.632399976254,3
1274,Youngstown State University,0.101599998772,0
1275,Bacone College,0.0335999988019,0
1276,Oklahoma Wesleyan University,0.269699990749,1
1277,Southern Nazarene University,0.316199988127,1
1278,Cameron University,0.0965000018477,0
1279,University of Central Oklahoma,0.122000001371,0
1280,East Central University,0.171100005507,0
1281,Randall University,0.25,1
1282,Langston University,0.0623000003397,0
1283,Spartan College of Aeronautics and Technology,0.81819999218,4
1284,Northeastern State University,0.131899997592,0
1285,Northwestern Oklahoma State University,0.148300006986,0
1286,Oklahoma Christian University,0.262800008059,1
1287,Oklahoma Panhandle State University,0.253199994564,1
1288,Oklahoma State University-Main Campus,0.336699992418,1
1289,Oklahoma Baptist University,0.412999987602,2
1290,Oklahoma City University,0.483799993992,2
1291,University of Oklahoma-Norman Campus,0.371699988842,1
1292,Oklahoma State University Institute of Technology,0.0,0
1293,Oral Roberts University,0.399399995804,1
1294,Rogers State University,0.100599996746,0
1295,St. Gregory's University,0.0379999987781,0
1296,University of Science and Arts of Oklahoma,0.433499991894,2
1297,Southeastern Oklahoma State University,0.116599999368,0
1298,Southwestern Christian University,0.233300000429,1
1299,Southwestern Oklahoma State University,0.1481000036,0
1300,University of Tulsa,0.517400026321,2
1301,The Art Institute of Portland,0.147100001574,0
1302,Concordia University-Portland,0.3125,1
1303,Eastern Oregon University,0.172499999404,0
1304,New Hope Christian College-Eugene,0.111100003123,0
1305,George Fox University,0.508700013161,2
1306,ITT Technical Institute-Portland,0.0,0
1307,Lewis & Clark College,0.713500022888,3
1308,Linfield College-McMinnville Campus,0.611800014973,3
1309,Marylhurst University,0.07689999789,0
1310,Mount Angel Seminary,0.666700005531,3
1311,Multnomah University,0.366200000048,1
1312,Northwest Christian University,0.550000011921,2
1313,Oregon Institute of Technology,0.162799999118,0
1314,Oregon College of Art and Craft,0.40000000596,2
1315,Oregon State University,0.306699991226,1
1316,University of Oregon,0.454100012779,2
1317,Pacific Northwest College of Art,0.163000002503,0
1318,Pacific University,0.504299998283,2
1319,Portland State University,0.168500006199,0
1320,University of Portland,0.732699990273,3
1321,Reed College,0.665700018406,3
1322,Southern Oregon University,0.21780000627,1
1323,Warner Pacific College,0.360000014305,1
1324,Corban University,0.553799986839,2
1325,Willamette University,0.690900027752,3
1326,Western Oregon University,0.223399996758,1
1327,Bryn Athyn College of the New Church,0.423099994659,2
1328,Albright College,0.443599998951,2
1329,Allegheny College,0.733099997044,3
1330,DeSales University,0.639299988747,3
1331,Alvernia University,0.386400014162,1
1332,The Art Institute of Philadelphia,0.250600010157,1
1333,The Art Institute of Pittsburgh,0.273799985647,1
1334,Clarks Summit University,0.39359998703,1
1335,Arcadia University,0.495799988508,2
1336,Bloomsburg University of Pennsylvania,0.432700008154,2
1337,Bryn Mawr College,0.762300014496,3
1338,Bucknell University,0.851499974728,4
1339,Cabrini University,0.417499989271,2
1340,California University of Pennsylvania,0.380499988794,1
1341,Carlow University,0.438100010157,2
1342,Carnegie Mellon University,0.718200027943,3
1343,Cedar Crest College,0.587599992752,2
1344,Central Penn College,0.422399997711,2
1345,Chatham University,0.46590000391,2
1346,Chestnut Hill College,0.371100008488,1
